,Series_reference,Data_value,Suppressed
500,BDCQ.SF1CC1CS,14100.313,
501,BDCQ.SF1CC1CS,14397.027,
502,BDCQ.SF1CC1CS,14897.827,
503,BDCQ.SF1CC1CS,15203.582,
504,BDCQ.SF1CC1CS,16081.832,
505,BDCQ.SF1CC1CS,17867.665,
506,BDCQ.SF1CC1CS,16942.68,
507,BDCQ.SF1CC1CS,16173.633,
508,BDCQ.SF1CC1CS,16656.257,
509,BDCQ.SF1CC1CS,16082.375,
510,BDCQ.SF1CC1CT,10658.453,
511,BDCQ.SF1CC1CT,10755.261,
512,BDCQ.SF1CC1CT,10932.066,
513,BDCQ.SF1CC1CT,11382.317,
514,BDCQ.SF1CC1CT,11957.04,
515,BDCQ.SF1CC1CT,12362.597,
516,BDCQ.SF1CC1CT,12341.247,
517,BDCQ.SF1CC1CT,12320.235,
518,BDCQ.SF1CC1CT,12413.336,
519,BDCQ.SF1CC1CT,12517.853,
520,BDCQ.SF1CC1CT,12688.352,
521,BDCQ.SF1CC1CT,12934.914,
522,BDCQ.SF1CC1CT,13014.265,
523,BDCQ.SF1CC1CT,13229.791,
524,BDCQ.SF1CC1CT,13762.227,
525,BDCQ.SF1CC1CT,,
526,BDCQ.SF1CC1CT,,
527,BDCQ.SF1CC1CT,,
528,BDCQ.SF1CC1CT,,
529,BDCQ.SF1CC1CT,,
530,BDCQ.SF1CC1CT,,
531,BDCQ.SF1CC1CT,,
532,BDCQ.SF1CC1CT,,
533,BDCQ.SF1CC1CT,,
534,BDCQ.SF1CC1CT,,
535,BDCQ.SF1CC1CT,,
536,BDCQ.SF1CC1CT,,
537,BDCQ.SF1CC1CT,,
538,BDCQ.SF1CC1CT,,
539,BDCQ.SF1CC1CT,,
540,BDCQ.SF1CC2CA,586.399,
541,BDCQ.SF1CC2CA,577.941,
542,BDCQ.SF1CC2CA,571.523,
543,BDCQ.SF1CC2CA,572.279,
544,BDCQ.SF1CC2CA,553.194,
545,BDCQ.SF1CC2CA,541.03,
546,BDCQ.SF1CC2CA,592.754,
547,BDCQ.SF1CC2CA,530.018,
548,BDCQ.SF1CC2CA,556.048,
549,BDCQ.SF1CC2CA,541.341,
550,BDCQ.SF1CC2CA,565.895,
551,BDCQ.SF1CC2CA,527.25,
552,BDCQ.SF1CC2CA,549.739,
553,BDCQ.SF1CC2CA,524.132,
554,BDCQ.SF1CC2CA,516.651,
555,BDCQ.SF1CC2CA,444.847,
556,BDCQ.SF1CC2CA,348.318,
557,BDCQ.SF1CC2CA,503.119,
558,BDCQ.SF1CC2CA,475.924,
559,BDCQ.SF1CC2CA,468.887,
560,BDCQ.SF1CC2CA,490.221,
561,BDCQ.SF1CC2CA,451.072,
562,BDCQ.SF1CC2CA,529.063,
563,BDCQ.SF1CC2CA,512.511,
564,BDCQ.SF1CC2CA,527.968,
565,BDCQ.SF1CC2CA,537.211,
566,BDCQ.SF1CC2CA,547.353,
567,BDCQ.SF1CC2CA,502.576,
568,BDCQ.SF1CC2CA,540.495,
569,BDCQ.SF1CC2CA,490.352,
570,BDCQ.SF1CC2CS,586.399,
571,BDCQ.SF1CC2CS,577.941,
572,BDCQ.SF1CC2CS,571.523,
573,BDCQ.SF1CC2CS,572.279,
574,BDCQ.SF1CC2CS,553.194,
575,BDCQ.SF1CC2CS,541.03,
576,BDCQ.SF1CC2CS,592.754,
577,BDCQ.SF1CC2CS,530.018,
578,BDCQ.SF1CC2CS,556.048,
579,BDCQ.SF1CC2CS,541.341,
580,BDCQ.SF1CC2CS,565.895,
581,BDCQ.SF1CC2CS,527.25,
